indicatorId,geoUnit,year,value,qualifier,magnitude
ODAFLOW.VOLUMESCHOLARSHIP,AFG,2006,394713,,
ODAFLOW.VOLUMESCHOLARSHIP,AFG,2007,490818,,
ODAFLOW.VOLUMESCHOLARSHIP,AFG,2008,1185739,,
ODAFLOW.VOLUMESCHOLARSHIP,AFG,2009,3225912,,
ODAFLOW.VOLUMESCHOLARSHIP,AFG,2010,4472338,,
ODAFLOW.VOLUMESCHOLARSHIP,AFG,2011,5056725,,
ODAFLOW.VOLUMESCHOLARSHIP,AFG,2012,8911781,,
ODAFLOW.VOLUMESCHOLARSHIP,AFG,2013,17314964,,
ODAFLOW.VOLUMESCHOLARSHIP,AFG,2014,7835627,,
ODAFLOW.VOLUMESCHOLARSHIP,AFG,2015,7131952,,
ODAFLOW.VOLUMESCHOLARSHIP,AFG,2016,8827992,,
ODAFLOW.VOLUMESCHOLARSHIP,AFG,2017,9271017,,
ODAFLOW.VOLUMESCHOLARSHIP,AFG,2018,12585477,,
ODAFLOW.VOLUMESCHOLARSHIP,AFG,2019,22618700,,
ODAFLOW.VOLUMESCHOLARSHIP,AFG,2020,11418147,,
ODAFLOW.VOLUMESCHOLARSHIP,AFG,2021,15939144,,
ODAFLOW.VOLUMESCHOLARSHIP,AFG,2022,17166256,,
ODAFLOW.VOLUMESCHOLARSHIP,AFG,2023,18832174,,
ODAFLOW.VOLUMESCHOLARSHIP,AGO,2006,1286846,,
ODAFLOW.VOLUMESCHOLARSHIP,AGO,2007,1187526,,
ODAFLOW.VOLUMESCHOLARSHIP,AGO,2008,1657035,,
ODAFLOW.VOLUMESCHOLARSHIP,AGO,2009,1778415,,
ODAFLOW.VOLUMESCHOLARSHIP,AGO,2010,1629604,,
ODAFLOW.VOLUMESCHOLARSHIP,AGO,2011,1281713,,
ODAFLOW.VOLUMESCHOLARSHIP,AGO,2012,1750337,,
ODAFLOW.VOLUMESCHOLARSHIP,AGO,2013,2064404,,
ODAFLOW.VOLUMESCHOLARSHIP,AGO,2014,2112595,,
ODAFLOW.VOLUMESCHOLARSHIP,AGO,2015,2170631,,
ODAFLOW.VOLUMESCHOLARSHIP,AGO,2016,2282703,,
ODAFLOW.VOLUMESCHOLARSHIP,AGO,2017,3112449,,
ODAFLOW.VOLUMESCHOLARSHIP,AGO,2018,3562877,,
ODAFLOW.VOLUMESCHOLARSHIP,AGO,2019,4338833,,
ODAFLOW.VOLUMESCHOLARSHIP,AGO,2020,4258330,,
ODAFLOW.VOLUMESCHOLARSHIP,AGO,2021,4112802,,
ODAFLOW.VOLUMESCHOLARSHIP,AGO,2022,5243773,,
ODAFLOW.VOLUMESCHOLARSHIP,AGO,2023,4913372,,
ODAFLOW.VOLUMESCHOLARSHIP,AIA,2012,8880,,
ODAFLOW.VOLUMESCHOLARSHIP,ALB,2006,1194779,,
ODAFLOW.VOLUMESCHOLARSHIP,ALB,2007,1074729,,
ODAFLOW.VOLUMESCHOLARSHIP,ALB,2008,1750576,,
ODAFLOW.VOLUMESCHOLARSHIP,ALB,2009,2349423,,
ODAFLOW.VOLUMESCHOLARSHIP,ALB,2010,2142016,,
ODAFLOW.VOLUMESCHOLARSHIP,ALB,2011,2673740,,
ODAFLOW.VOLUMESCHOLARSHIP,ALB,2012,2347750,,
ODAFLOW.VOLUMESCHOLARSHIP,ALB,2013,3574072,,
ODAFLOW.VOLUMESCHOLARSHIP,ALB,2014,3210389,,
ODAFLOW.VOLUMESCHOLARSHIP,ALB,2015,4554596,,
