indicatorId,geoUnit,year,value,qualifier,magnitude
ODAFLOW.VOLUMESCHOLARSHIP,LBN,2017,5033436,,
ODAFLOW.VOLUMESCHOLARSHIP,LBN,2018,4689153,,
ODAFLOW.VOLUMESCHOLARSHIP,LBN,2019,5981409,,
ODAFLOW.VOLUMESCHOLARSHIP,LBN,2020,7665338,,
ODAFLOW.VOLUMESCHOLARSHIP,LBN,2021,7562904,,
ODAFLOW.VOLUMESCHOLARSHIP,LBN,2022,12525814,,
ODAFLOW.VOLUMESCHOLARSHIP,LBN,2023,12503148,,
ODAFLOW.VOLUMESCHOLARSHIP,LBR,2007,13309,,
ODAFLOW.VOLUMESCHOLARSHIP,LBR,2008,376037,,
ODAFLOW.VOLUMESCHOLARSHIP,LBR,2009,212729,,
ODAFLOW.VOLUMESCHOLARSHIP,LBR,2010,81704,,
ODAFLOW.VOLUMESCHOLARSHIP,LBR,2011,1206986,,
ODAFLOW.VOLUMESCHOLARSHIP,LBR,2012,998539,,
ODAFLOW.VOLUMESCHOLARSHIP,LBR,2013,1573155,,
ODAFLOW.VOLUMESCHOLARSHIP,LBR,2014,831323,,
ODAFLOW.VOLUMESCHOLARSHIP,LBR,2015,1059288,,
ODAFLOW.VOLUMESCHOLARSHIP,LBR,2016,412849,,
ODAFLOW.VOLUMESCHOLARSHIP,LBR,2017,1492647,,
ODAFLOW.VOLUMESCHOLARSHIP,LBR,2018,695752,,
ODAFLOW.VOLUMESCHOLARSHIP,LBR,2019,1705273,,
ODAFLOW.VOLUMESCHOLARSHIP,LBR,2020,1601878,,
ODAFLOW.VOLUMESCHOLARSHIP,LBR,2021,1386755,,
ODAFLOW.VOLUMESCHOLARSHIP,LBR,2022,1431103,,
ODAFLOW.VOLUMESCHOLARSHIP,LBR,2023,5788864,,
ODAFLOW.VOLUMESCHOLARSHIP,LBY,2006,13179,,
ODAFLOW.VOLUMESCHOLARSHIP,LBY,2007,14136,,
ODAFLOW.VOLUMESCHOLARSHIP,LBY,2008,164414,,
ODAFLOW.VOLUMESCHOLARSHIP,LBY,2009,135644,,
ODAFLOW.VOLUMESCHOLARSHIP,LBY,2010,247114,,
ODAFLOW.VOLUMESCHOLARSHIP,LBY,2011,1405551,,
ODAFLOW.VOLUMESCHOLARSHIP,LBY,2012,1040925,,
ODAFLOW.VOLUMESCHOLARSHIP,LBY,2013,786990,,
ODAFLOW.VOLUMESCHOLARSHIP,LBY,2014,811393,,
ODAFLOW.VOLUMESCHOLARSHIP,LBY,2015,1351203,,
ODAFLOW.VOLUMESCHOLARSHIP,LBY,2016,460658,,
ODAFLOW.VOLUMESCHOLARSHIP,LBY,2017,1998213,,
ODAFLOW.VOLUMESCHOLARSHIP,LBY,2018,1857492,,
ODAFLOW.VOLUMESCHOLARSHIP,LBY,2019,3644412,,
ODAFLOW.VOLUMESCHOLARSHIP,LBY,2020,3682289,,
ODAFLOW.VOLUMESCHOLARSHIP,LBY,2021,3530039,,
ODAFLOW.VOLUMESCHOLARSHIP,LBY,2022,3148801,,
ODAFLOW.VOLUMESCHOLARSHIP,LBY,2023,6924726,,
ODAFLOW.VOLUMESCHOLARSHIP,LCA,2006,15315,,
ODAFLOW.VOLUMESCHOLARSHIP,LCA,2008,84611,,
ODAFLOW.VOLUMESCHOLARSHIP,LCA,2009,384339,,
ODAFLOW.VOLUMESCHOLARSHIP,LCA,2010,183268,,
ODAFLOW.VOLUMESCHOLARSHIP,LCA,2011,128009,,
ODAFLOW.VOLUMESCHOLARSHIP,LCA,2012,374187,,
ODAFLOW.VOLUMESCHOLARSHIP,LCA,2013,258500,,
ODAFLOW.VOLUMESCHOLARSHIP,LCA,2014,521572,,
ODAFLOW.VOLUMESCHOLARSHIP,LCA,2015,517724,,
ODAFLOW.VOLUMESCHOLARSHIP,LCA,2016,266393,,
ODAFLOW.VOLUMESCHOLARSHIP,LCA,2017,603973,,
ODAFLOW.VOLUMESCHOLARSHIP,LCA,2018,641390,,
ODAFLOW.VOLUMESCHOLARSHIP,LCA,2019,729999,,
ODAFLOW.VOLUMESCHOLARSHIP,LCA,2020,589721,,
ODAFLOW.VOLUMESCHOLARSHIP,LCA,2021,505142,,
